# Derived from https://github.com/DeusData/codebase-memory-mcp
# Upstream commit: 2469ecc3a7a2f80debe296e1f17a1efcfdb9450c
# License: MIT; derived data preserves upstream provenance and notice.
id	display_name	extensions	filenames	compound_extensions
gomod	Go Mod	-	go.mod	-
apex	Apex	.cls,.trigger	-	-
soql	SOQL	.soql	-	-
sosl	SOSL	.sosl	-	-
kustomize	Kustomize	-	kustomization.yaml,kustomization.yml	-
k8s	Kubernetes	-	-	-
pine	PineScript	.pine	-	-
qml	QML	.qml	-	-
cfscript	CFML	.cfc	-	-
cfml	CFML	.cfm	-	-
mojo	Mojo	.mojo	-	-
